TIER,Alimento,Categoria,Proteine (g),Proteine (%),Grassi (g),Grassi (%),Carboidrati (g),Carboidrati (%),Fibre (g),Fibre (%),Omega-3 (ALA) (g),Omega-3 (ALA) (%),Omega-6 (g),Omega-6 (%),Calcio (g),Calcio (%),Ferro (g),Ferro (%),Magnesio (g),Magnesio (%),Potassio (g),Potassio (%),Zinco (g),Zinco (%),Vitamina A (g),Vitamina A (%),Vitamina C (g),Vitamina C (%),Vitamina D (g),Vitamina D (%),Vitamina E (g),Vitamina E (%),Vitamina K (g),Vitamina K (%),Vitamina B6 (g),Vitamina B6 (%),Folati (B9) (g),Folati (B9) (%),Vitamina B12 (g),Vitamina B12 (%)
,Finocchio,Verdura,1.2,0.024,0.2,0.0028571428571428,7.3,0.0280769230769231,3.1,0.103333333333333,0.0,0.0,0.0,0.0,0.049,0.049,0.00073,0.0521428571428571,1.7e-05,4.53333333333333e-05,0.414,0.118285714285714,2e-05,0.002,7e-06,0.00875,0.012,0.16,0.0,0.0,0.00058,0.0483333333333333,6.27e-05,0.836,4.7e-05,0.0335714285714286,2.7e-05,0.135,0.0,0.0
,Bietola,Verdura,1.8,0.036,0.2,0.0028571428571428,3.7,0.0142307692307692,1.6,0.0533333333333333,0.0,0.0,3e-05,3e-06,0.051,0.051,0.0018,0.128571428571429,8.1e-05,0.000216,0.379,0.108285714285714,3.6e-05,0.0036,0.000306,0.3825,0.03,0.4,0.0,0.0,0.0015,0.125,0.00083,11.0666666666667,9.9e-05,0.0707142857142857,1.4e-05,0.07,0.0,0.0
,Cime di rapa,Verdura,3.2,0.064,0.5,0.0071428571428571,4.4,0.0169230769230769,3.2,0.106666666666667,0.0001,6.25e-05,5e-05,5e-06,0.108,0.108,0.0022,0.157142857142857,2.2e-05,5.86666666666667e-05,0.196,0.056,3.8e-05,0.0038,0.000197,0.24625,0.021,0.28,0.0,0.0,0.0024,0.2,0.000224,2.98666666666667,0.000165,0.117857142857143,8.3e-05,0.415,0.0,0.0
,Cicoria,Verdura,1.7,0.034,0.3,0.0042857142857142,4.7,0.0180769230769231,4.0,0.133333333333333,0.0,0.0,0.0001,1e-05,0.1,0.1,0.0009,0.0642857142857143,3e-05,8e-05,0.42,0.12,4.2e-05,0.0042,0.000286,0.3575,0.024,0.32,0.0,0.0,0.0022,0.183333333333333,0.000298,3.97333333333333,0.000105,0.075,0.00011,0.55,0.0,0.0
,Radicchio,Verdura,1.4,0.028,0.3,0.0042857142857142,4.5,0.0173076923076923,0.9,0.03,0.0,0.0,0.0001,1e-05,0.019,0.019,0.00057,0.0407142857142857,1.3e-05,3.46666666666667e-05,0.302,0.0862857142857143,6.2e-05,0.0062,1e-06,0.00125,0.008,0.106666666666667,0.0,0.0,0.00026,0.0216666666666667,0.000255,3.4,5.7e-05,0.0407142857142857,6e-05,0.3,0.0,0.0
,Verza,Verdura,1.4,0.028,0.1,0.0014285714285714,6.1,0.0234615384615385,2.3,0.0766666666666667,5e-05,3.125e-05,2e-05,2e-06,0.035,0.035,0.0004,0.0285714285714286,1.2e-05,3.2e-05,0.17,0.0485714285714286,1.8e-05,0.0018,5e-05,0.0625,0.031,0.413333333333333,0.0,0.0,7e-05,0.0058333333333333,3.8e-05,0.506666666666667,0.00014,0.1,8e-05,0.4,0.0,0.0
,Scarola,Verdura,1.3,0.026,0.2,0.0028571428571428,3.4,0.0130769230769231,3.1,0.103333333333333,0.0,0.0,0.0001,1e-05,0.052,0.052,0.00083,0.0592857142857143,1.5e-05,4e-05,0.314,0.0897142857142857,7.9e-05,0.0079,0.000108,0.135,0.007,0.0933333333333333,0.0,0.0,0.00044,0.0366666666666667,0.000231,3.08,2e-05,0.0142857142857143,0.000142,0.71,0.0,0.0
,Cipolla rossa,Verdura,1.1,0.022,0.1,0.0014285714285714,9.3,0.0357692307692308,1.7,0.0566666666666667,4e-06,2.5e-06,6.5e-05,6.5e-06,0.023,0.023,0.00021,0.015,1e-05,2.66666666666667e-05,0.146,0.0417142857142857,1.7e-05,0.0017,2e-06,0.0025,0.007,0.0933333333333333,0.0,0.0,2e-05,0.0016666666666666,5e-07,0.0066666666666666,0.00012,0.0857142857142857,1.9e-05,0.095,0.0,0.0
,Scalogno,Verdura,2.5,0.05,0.1,0.0014285714285714,16.8,0.0646153846153846,3.2,0.106666666666667,0.0,0.0,0.0,0.0,0.037,0.037,0.0012,0.0857142857142857,2.1e-05,5.6e-05,0.334,0.0954285714285714,4e-05,0.004,4e-06,0.005,0.008,0.106666666666667,0.0,0.0,4e-05,0.0033333333333333,8e-07,0.0106666666666667,0.000345,0.246428571428571,3.4e-05,0.17,0.0,0.0
,Porro,Verdura,1.5,0.03,0.3,0.0042857142857142,14.2,0.0546153846153846,1.8,0.06,0.0,0.0,8.4e-05,8.4e-06,0.059,0.059,0.0021,0.15,2.8e-05,7.46666666666667e-05,0.18,0.0514285714285714,1.2e-05,0.0012,8.3e-05,0.10375,0.012,0.16,0.0,0.0,0.00092,0.0766666666666667,4.7e-05,0.626666666666667,0.000233,0.166428571428571,6.4e-05,0.32,0.0,0.0
,Cavolo nero,Verdura,3.3,0.066,0.7,0.01,4.4,0.0169230769230769,2.0,0.0666666666666667,0.000121,7.5625e-05,9.2e-05,9.2e-06,0.15,0.15,0.0017,0.121428571428571,3.4e-05,9.06666666666667e-05,0.348,0.0994285714285714,2.8e-05,0.0028,0.0002,0.25,0.12,1.6,0.0,0.0,0.0015,0.125,0.000817,10.8933333333333,0.000271,0.193571428571429,0.00012,0.6,0.0,0.0
,Cavolo rosso,Verdura,1.4,0.028,0.2,0.0028571428571428,7.4,0.0284615384615385,2.1,0.07,4.7e-05,2.9375e-05,3e-05,3e-06,0.045,0.045,0.0008,0.0571428571428571,1.6e-05,4.26666666666667e-05,0.243,0.0694285714285714,2.2e-05,0.0022,5.6e-05,0.07,0.057,0.76,0.0,0.0,0.00011,0.0091666666666666,3.8e-05,0.506666666666667,0.000209,0.149285714285714,1.8e-05,0.09,0.0,0.0
,Peperone rosso,Verdura,1.0,0.02,0.3,0.0042857142857142,6.0,0.0230769230769231,2.1,0.07,1.5e-05,9.375e-06,5.4e-05,5.4e-06,0.007,0.007,0.00043,0.0307142857142857,1.2e-05,3.2e-05,0.211,0.0602857142857143,2.5e-05,0.0025,0.000157,0.19625,0.128,1.70666666666667,0.0,0.0,0.0016,0.133333333333333,4.9e-06,0.0653333333333333,0.000291,0.207857142857143,4.6e-05,0.23,0.0,0.0
,Peperone giallo,Verdura,1.0,0.02,0.2,0.0028571428571428,6.3,0.0242307692307692,0.9,0.03,1.5e-05,9.375e-06,5e-05,5e-06,0.011,0.011,0.00046,0.0328571428571429,1.2e-05,3.2e-05,0.212,0.0605714285714286,1.7e-05,0.0017,1e-05,0.0125,0.184,2.45333333333333,0.0,0.0,0.0016,0.133333333333333,0.0,0.0,0.000168,0.12,2.6e-05,0.13,0.0,0.0
,--- FRUTTA ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arancia,Frutta,0.9,0.018,0.1,0.0014285714285714,11.8,0.0146153846153846,2.4,0.04,7e-06,1.875e-06,2.3e-05,7.9e-06,0.04,0.011,0.0001,0.0178571428571429,1e-05,2.93333333333333e-05,0.181,0.0677142857142857,7e-06,0.0017,1.1e-05,0.0525,0.053,0.28,0.0,0.0,0.00018,0.045,0.0,0.105333333333333,6e-05,0.0571428571428572,3e-05,0.075,0.0,0.0
,Limone,Frutta,1.1,0.024,0.3,0.0042857142857142,9.3,0.0119230769230769,2.8,0.0333333333333333,2.6e-05,2e-05,6.3e-05,4.2e-06,0.026,0.016,0.0006,0.0264285714285714,8e-06,4.8e-05,0.138,0.0745714285714286,6e-06,0.0032,1e-06,0.0125,0.053,0.24,0.0,0.0,0.00015,0.01,0.0,0.0573333333333333,8e-05,0.116428571428571,1.1e-05,0.12,0.0,0.0
,Lime,Frutta,0.7,0.02,0.2,0.0014285714285714,10.5,0.025,2.8,0.0166666666666667,1.9e-05,1.875e-06,3.6e-05,2e-07,0.033,0.021,0.0006,0.0571428571428571,6e-06,3.2e-05,0.102,0.0971428571428572,1.1e-05,0.0032,2e-06,0.5325,0.029,0.12,0.0,0.0,0.00022,0.0916666666666667,6e-07,0.0146666666666667,4.3e-05,0.0435714285714286,8e-06,0.08,0.0,0.0
,Pompelmo,Frutta,0.8,0.062,0.1,0.0042857142857142,10.7,0.0126923076923077,1.6,0.0333333333333333,1e-05,0.0,1.7e-05,1.39e-05,0.022,0.003,8e-05,0.0357142857142857,9e-06,2.4e-05,0.135,0.0908571428571429,7e-06,0.0052,5.8e-05,0.0,0.031,0.0266666666666667,0.0,0.0133333333333333,0.00013,0.0008333333333333,0.0,0.0,5.3e-05,0.0742857142857143,1.3e-05,0.085,0.0,1.6
,Mandarino,Frutta,0.8,0.074,0.3,0.0071428571428571,13.3,0.0115384615384615,1.8,0.07,1.8e-05,0.0,4.8e-05,0.0,0.037,0.01,0.00015,0.0571428571428571,1.2e-05,4e-05,0.166,0.105714285714286,7e-06,0.008,3.4e-05,0.0,0.027,0.04,0.0,0.02,0.0002,0.0008333333333333,0.0,0.0,7.8e-05,0.04,1.6e-05,0.22,0.0,1.2
,Clementina,Frutta,0.9,0.024,0.2,0.0028571428571428,12.0,0.0280769230769231,1.7,0.103333333333333,2.2e-05,0.0,2.5e-05,0.0,0.03,0.049,0.00014,0.0521428571428571,1e-05,4.53333333333333e-05,0.177,0.118285714285714,6e-06,0.002,3.6e-05,0.00875,0.049,0.16,0.0,0.0,0.0002,0.0483333333333333,0.0,0.836,7.5e-05,0.0335714285714286,2.4e-05,0.135,0.0,0.0
,Fragole,Frutta,0.7,0.036,0.3,0.0028571428571428,7.7,0.0142307692307692,2.0,0.0533333333333333,6.5e-05,0.0,9e-05,3e-06,0.016,0.051,0.00041,0.128571428571429,1.3e-05,0.000216,0.153,0.108285714285714,1.4e-05,0.0036,1e-06,0.3825,0.059,0.4,0.0,0.0,0.00029,0.125,2.2e-06,11.0666666666667,4.7e-05,0.0707142857142857,2.4e-05,0.07,0.0,0.0
,Mirtilli,Frutta,0.7,0.064,0.3,0.0071428571428571,14.5,0.0169230769230769,2.4,0.106666666666667,5e-05,6.25e-05,8.8e-05,5e-06,0.006,0.108,0.00028,0.157142857142857,6e-06,5.86666666666667e-05,0.077,0.056,1.6e-05,0.0038,3e-06,0.24625,0.01,0.28,0.0,0.0,0.00057,0.2,1.93e-05,2.98666666666667,5.2e-05,0.117857142857143,6e-06,0.415,0.0,0.0
,Lamponi,Frutta,1.2,0.034,0.7,0.0042857142857142,11.9,0.0180769230769231,6.5,0.133333333333333,0.000126,0.0,0.000249,1e-05,0.025,0.1,0.00069,0.0642857142857143,2.2e-05,8e-05,0.151,0.12,4.2e-05,0.0042,2e-06,0.3575,0.026,0.32,0.0,0.0,0.00087,0.183333333333333,7.8e-06,3.97333333333333,5.5e-05,0.075,2.1e-05,0.55,0.0,0.0
,More,Frutta,1.4,0.028,0.5,0.0042857142857142,9.6,0.0173076923076923,5.3,0.03,9.4e-05,0.0,0.000186,1e-05,0.029,0.019,0.00062,0.0407142857142857,2e-05,3.46666666666667e-05,0.162,0.0862857142857143,5.3e-05,0.0062,1.1e-05,0.00125,0.021,0.106666666666667,0.0,0.0,0.00117,0.0216666666666667,1.98e-05,3.4,3e-05,0.0407142857142857,2.5e-05,0.3,0.0,0.0
,Ribes nero,Frutta,1.4,0.028,0.4,0.0014285714285714,15.4,0.0234615384615385,4.3,0.0766666666666667,0.0,3.125e-05,0.0,2e-06,0.055,0.035,0.00155,0.0285714285714286,2.4e-05,3.2e-05,0.322,0.0485714285714286,2.7e-05,0.0018,1.2e-05,0.0625,0.181,0.413333333333333,0.0,0.0,0.001,0.0058333333333333,0.0,0.506666666666667,6.6e-05,0.1,0.0,0.4,0.0,0.0
,Ribes rosso,Frutta,1.4,0.026,0.2,0.0028571428571428,13.8,0.0130769230769231,4.3,0.103333333333333,0.0,0.0,0.0,1e-05,0.033,0.052,0.001,0.0592857142857143,1.3e-05,4e-05,0.275,0.0897142857142857,2.3e-05,0.0079,2e-06,0.135,0.041,0.0933333333333333,0.0,0.0,0.0001,0.0366666666666667,1.1e-05,3.08,7e-05,0.0142857142857143,8e-06,0.71,0.0,0.0
,Uva spina,Frutta,0.9,0.022,0.6,0.0014285714285714,10.2,0.0357692307692308,4.3,0.0566666666666667,0.0,2.5e-06,0.0,6.5e-06,0.025,0.023,0.00031,0.015,1e-05,2.66666666666667e-05,0.198,0.0417142857142857,1.2e-05,0.0017,1.5e-05,0.0025,0.028,0.0933333333333333,0.0,0.0,0.00037,0.0016666666666666,0.0,0.0066666666666666,8e-05,0.0857142857142857,6e-06,0.095,0.0,0.0
,Mirtilli rossi (Cranberry),Frutta,0.5,0.05,0.1,0.0014285714285714,12.2,0.0646153846153846,4.6,0.106666666666667,2.2e-05,0.0,3e-05,0.0,0.008,0.037,0.00025,0.0857142857142857,6e-06,5.6e-05,0.085,0.0954285714285714,1e-05,0.004,3e-06,0.005,0.013,0.106666666666667,0.0,0.0,0.0012,0.0033333333333333,5.1e-06,0.0106666666666667,5.7e-05,0.246428571428571,1e-06,0.17,0.0,0.0
,Banana,Frutta,1.1,0.03,0.3,0.0042857142857142,22.8,0.0546153846153846,2.6,0.06,2.7e-05,0.0,4.6e-05,8.4e-06,0.005,0.059,0.00026,0.15,2.7e-05,7.46666666666667e-05,0.358,0.0514285714285714,1.5e-05,0.0012,3e-06,0.10375,0.009,0.16,0.0,0.0,0.0001,0.0766666666666667,5e-07,0.626666666666667,0.000367,0.166428571428571,2e-05,0.32,0.0,0.0
,Mango,Frutta,0.8,0.066,0.4,0.01,15.0,0.0169230769230769,1.6,0.0666666666666667,5.1e-05,7.5625e-05,1.9e-05,9.2e-06,0.011,0.15,0.00016,0.121428571428571,1e-05,9.06666666666667e-05,0.168,0.0994285714285714,9e-06,0.0028,5.4e-05,0.25,0.036,1.6,0.0,0.0,0.0009,0.125,4.2e-06,10.8933333333333,0.000119,0.193571428571429,4.3e-05,0.6,0.0,0.0
,Papaya,Frutta,0.5,0.028,0.3,0.0028571428571428,10.8,0.0284615384615385,1.7,0.07,2.5e-05,2.9375e-05,1.6e-05,3e-06,0.02,0.045,0.00025,0.0571428571428571,2.1e-05,4.26666666666667e-05,0.182,0.0694285714285714,8e-06,0.0022,4.7e-05,0.07,0.061,0.76,0.0,0.0,0.0003,0.0091666666666666,2.6e-06,0.506666666666667,3.8e-05,0.149285714285714,3.7e-05,0.09,0.0,0.0
,Ananas,Frutta,0.5,0.02,0.1,0.0042857142857142,13.1,0.0230769230769231,1.4,0.07,1.7e-05,9.375e-06,2.4e-05,5.4e-06,0.013,0.007,0.00029,0.0307142857142857,1.2e-05,3.2e-05,0.109,0.0602857142857143,1.2e-05,0.0025,3e-06,0.19625,0.048,1.70666666666667,0.0,0.0,2e-05,0.133333333333333,7e-07,0.0653333333333333,0.000112,0.207857142857143,1.8e-05,0.23,0.0,0.0
,Kiwi,Frutta,1.1,0.02,0.5,0.0028571428571428,14.7,0.0242307692307692,3.0,0.03,4.2e-05,9.375e-06,0.000115,5e-06,0.034,0.011,0.00031,0.0328571428571429,1.7e-05,3.2e-05,0.312,0.0605714285714286,1.4e-05,0.0017,4e-06,0.0125,0.093,2.45333333333333,0.0,0.0,0.0015,0.133333333333333,4.02e-05,0.0,6.3e-05,0.12,2.5e-05,0.13,0.0,0.0
,Avocado,Frutta,2.0,0.0,14.7,0.0,8.5,0.0,6.7,0.0,0.000111,0.0,0.001689,0.0,0.012,0.0,0.00055,0.0,2.9e-05,0.0,0.485,0.0,6.4e-05,0.0,7e-06,0.0,0.01,0.0,0.0,0.0,0.0021,0.0,2.1e-05,0.0,0.000257,0.0,8.1e-05,0.0,0.0,0.0
,Guava,Frutta,2.6,0.018,1.0,0.0014285714285714,14.3,0.0453846153846154,5.4,0.08,0.000112,4.375e-06,0.000328,2.3e-06,0.018,0.04,0.00026,0.0071428571428571,2.2e-05,2.66666666666667e-05,0.417,0.0517142857142857,2.3e-05,0.0007,3.1e-05,0.01375,0.228,0.706666666666667,0.0,0.0,0.00073,0.015,2.6e-06,0.0,0.00011,0.0428571428571429,4.9e-05,0.15,0.0,0.0
,Frutto della passione,Frutta,2.2,0.022,0.7,0.0042857142857142,23.4,0.0357692307692308,10.4,0.0933333333333333,0.0,1.625e-05,0.0,6.3e-06,0.012,0.026,0.0016,0.0428571428571429,2.9e-05,2.13333333333333e-05,0.348,0.0394285714285714,1e-05,0.0006,6.4e-05,0.00125,0.03,0.706666666666667,0.0,0.0,0.0002,0.0125,7e-07,0.0,0.0001,0.0571428571428572,1.4e-05,0.055,0.0,0.0
,Litchi,Frutta,0.8,0.014,0.4,0.0028571428571428,16.5,0.0403846153846154,1.3,0.0933333333333333,0.0,1.1875e-05,0.0,3.6e-06,0.005,0.033,0.00031,0.0428571428571429,1e-05,1.6e-05,0.171,0.0291428571428571,7e-06,0.0011,0.0,0.0025,0.072,0.386666666666667,0.0,0.0,7e-05,0.0183333333333333,4e-07,0.008,0.0001,0.0307142857142857,1.4e-05,0.04,0.0,0.0
,Cocco (polpa fresca),Frutta,3.3,0.016,33.5,0.0014285714285714,15.2,0.0411538461538462,9.0,0.0533333333333333,0.0,6.25e-06,0.000366,1.7e-06,0.014,0.022,0.00244,0.0057142857142857,3.2e-05,2.4e-05,0.356,0.0385714285714286,0.00011,0.0007,0.0,0.0725,0.003,0.413333333333333,0.0,0.0,0.00024,0.0108333333333333,2e-07,0.0,5.4e-05,0.0378571428571429,2.6e-05,0.065,0.0,0.0
,Dattero (fresco),Frutta,1.8,0.016,0.2,0.0042857142857142,75.0,0.0511538461538462,6.7,0.06,0.0,1.125e-05,0.0,4.8e-06,0.064,0.037,0.0009,0.0107142857142857,5.4e-05,3.2e-05,0.696,0.0474285714285714,4.4e-05,0.0007,7e-06,0.0425,0.0,0.36,0.0,0.0,5e-05,0.0166666666666667,2.7e-06,0.0,0.000249,0.0557142857142857,1.5e-05,0.08,0.0,0.0
,Fico (fresco),Frutta,0.8,0.018,0.3,0.0028571428571428,19.2,0.0461538461538462,2.9,0.0566666666666667,0.0,1.375e-05,0.000144,2.5e-06,0.035,0.03,0.00037,0.01,1.7e-05,2.66666666666667e-05,0.232,0.0505714285714286,1.5e-05,0.0006,7e-06,0.045,0.002,0.653333333333333,0.0,0.0,0.00011,0.0166666666666667,4.7e-06,0.0,0.000113,0.0535714285714286,6e-06,0.12,0.0,0.0
,Melograno,Frutta,1.7,0.014,1.2,0.0042857142857142,18.7,0.0296153846153846,4.0,0.0666666666666667,7.9e-05,4.0625e-05,5.5e-05,9e-06,0.01,0.016,0.0003,0.0292857142857143,1.2e-05,3.46666666666667e-05,0.236,0.0437142857142857,3.5e-05,0.0014,0.0,0.00125,0.01,0.786666666666667,0.0,0.0,0.0006,0.0241666666666667,1.64e-05,0.0293333333333333,7.5e-05,0.0335714285714286,3.8e-05,0.12,0.0,0.0
,Mela,Frutta,0.3,0.014,0.2,0.0042857142857142,13.8,0.0557692307692308,2.4,0.08,9e-06,3.125e-05,4.3e-05,8.8e-06,0.006,0.006,0.00012,0.02,5e-06,1.6e-05,0.107,0.022,4e-06,0.0016,3e-06,0.00375,0.005,0.133333333333333,0.0,0.0,0.00018,0.0475,2.2e-06,0.257333333333333,4.1e-05,0.0371428571428571,3e-06,0.03,0.0,0.0
,Pera,Frutta,0.4,0.024,0.1,0.01,15.2,0.0457692307692308,3.1,0.216666666666667,1e-06,7.875e-05,2.7e-05,2.49e-05,0.009,0.025,0.00018,0.0492857142857143,7e-06,5.86666666666667e-05,0.116,0.0431428571428571,1e-05,0.0042,1e-06,0.0025,0.004,0.346666666666667,0.0,0.0,0.00012,0.0725,4.5e-06,0.104,2.9e-05,0.0392857142857143,7e-06,0.105,0.0,0.0
,Mela cotogna,Frutta,0.4,0.028,0.1,0.0071428571428571,15.3,0.0369230769230769,1.9,0.176666666666667,0.0,5.875e-05,0.0,1.86e-05,0.011,0.029,0.0007,0.0442857142857143,8e-06,5.33333333333333e-05,0.197,0.0462857142857143,4e-06,0.0053,2e-06,0.01375,0.015,0.28,0.0,0.0,0.0,0.0975,0.0,0.264,4e-05,0.0214285714285714,3e-06,0.125,0.0,0.0
,Pesca,Frutta,0.9,0.028,0.3,0.0057142857142857,9.5,0.0592307692307692,1.5,0.143333333333333,2e-06,0.0,8.6e-05,0.0,0.006,0.055,0.00025,0.110714285714286,9e-06,6.4e-05,0.19,0.092,1.7e-05,0.0027,1.6e-05,0.015,0.007,2.41333333333333,0.0,0.0,0.00073,0.0833333333333333,2.6e-06,0.0,2.5e-05,0.0471428571428571,4e-06,0.0,0.0,0.0
,Nettarina,Frutta,1.1,0.028,0.3,0.0028571428571428,10.6,0.0530769230769231,1.7,0.143333333333333,2e-06,0.0,0.000111,0.0,0.006,0.033,0.00028,0.0714285714285714,9e-06,3.46666666666667e-05,0.201,0.0785714285714286,1.7e-05,0.0023,1.7e-05,0.0025,0.005,0.546666666666667,0.0,0.0,0.00077,0.0083333333333333,2.2e-06,0.146666666666667,2.5e-05,0.05,5e-06,0.04,0.0,0.0
,Albicocca,Frutta,1.4,0.018,0.4,0.0085714285714285,11.1,0.0392307692307692,2.0,0.143333333333333,4e-06,0.0,7.7e-05,0.0,0.013,0.025,0.00039,0.0221428571428571,1e-05,2.66666666666667e-05,0.259,0.0565714285714286,2e-05,0.0012,9.6e-05,0.01875,0.01,0.373333333333333,0.0,0.0,0.00089,0.0308333333333333,3.3e-06,0.0,5.4e-05,0.0571428571428572,9e-06,0.03,0.0,0.0
